number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.3608089666659273,2026-03-11 19:41:21.393634,2026-03-11 19:41:24.930866,0 days 00:00:03.537232,0.6232334448672797,0.17254716573280354,7,12,550,97,0.004042872735027332,2.9154431891537547,0.662397808134481,COMPLETE
1,0.37591777598827597,2026-03-11 19:41:24.932368,2026-03-11 19:41:32.467577,0 days 00:00:07.535209,0.6733618039413735,0.010636066512540286,10,14,900,124,0.0014077923139972403,0.016480446427978974,0.6727299868828402,COMPLETE
2,0.37159319416782266,2026-03-11 19:41:32.467577,2026-03-11 19:41:41.715835,0 days 00:00:09.248258,0.7824279936868144,0.023927528765580644,0,18,650,84,1.5777663630582448e-05,1.382623217936987,0.7465447373174767,COMPLETE
3,0.3656008387700196,2026-03-11 19:41:41.716836,2026-03-11 19:41:45.550140,0 days 00:00:03.833304,0.9795542149013333,0.05898602410432694,7,12,700,20,0.07085721663941602,7.2866537374910445,0.6260206371941118,COMPLETE
4,0.40182022679772034,2026-03-11 19:41:45.551143,2026-03-11 19:41:47.584705,0 days 00:00:02.033562,0.6137554084460873,0.013399060561509796,5,10,500,92,3.5700959600309506e-05,4.337920697490942,0.798070764044508,COMPLETE
5,0.37786889930612555,2026-03-11 19:41:47.584705,2026-03-11 19:41:51.797651,0 days 00:00:04.212946,0.9100531293444458,0.02544166090938368,6,13,850,73,0.2338643925620872,5.727904470799623,0.9878338511058234,COMPLETE
6,0.393501682616049,2026-03-11 19:41:51.798651,2026-03-11 19:41:52.711019,0 days 00:00:00.912368,0.7554709158757928,0.15826541904647565,1,7,800,24,0.09384800715909536,0.01217295809836997,0.7301321323053057,COMPLETE
7,0.3747769490088312,2026-03-11 19:41:52.712522,2026-03-11 19:41:56.793562,0 days 00:00:04.081040,0.9947547746402069,0.023200867504756827,0,41,550,76,1.5570196345516602e-05,1.2273800987852967,0.6298202574719083,COMPLETE
8,0.3686978023323255,2026-03-11 19:41:56.794563,2026-03-11 19:41:57.881051,0 days 00:00:01.086488,0.7433862914177091,0.11506408247250169,9,40,200,94,0.15087613675681671,0.0029072088906598446,0.6296178606936361,COMPLETE
9,0.39700277154927965,2026-03-11 19:41:57.882554,2026-03-11 19:41:59.420241,0 days 00:00:01.537687,0.8550229885420852,0.026946865572417687,3,19,850,22,0.0006812233896860299,3.53875886477924,0.8918424713352255,COMPLETE
10,0.37148328970028605,2026-03-11 19:41:59.421243,2026-03-11 19:42:06.990073,0 days 00:00:07.568830,0.6060507263653538,0.010181283131439643,12,29,1150,49,1.924662625795061e-06,0.2846091629475054,0.8429521169792498,COMPLETE
11,0.41026282073777204,2026-03-11 19:42:06.991075,2026-03-11 19:42:07.970751,0 days 00:00:00.979676,0.8743188681917087,0.016790903403878822,3,24,300,42,5.544215603460189e-05,0.26837193414400196,0.8920339412764792,COMPLETE
12,0.40867634580154366,2026-03-11 19:42:07.970751,2026-03-11 19:42:08.616350,0 days 00:00:00.645599,0.8510571781023799,0.015398097364773211,3,28,250,48,9.268967611489131e-05,0.19561958017069173,0.9157908265277859,COMPLETE
13,0.39794789777121925,2026-03-11 19:42:08.616350,2026-03-11 19:42:09.171129,0 days 00:00:00.554779,0.865362571444793,0.046668027757370785,3,29,200,49,0.00024107990107469785,0.17406212531444384,0.9364456838793964,COMPLETE
14,0.406051549585101,2026-03-11 19:42:09.172633,2026-03-11 19:42:10.060714,0 days 00:00:00.888081,0.9087830551819186,0.016097614416565088,3,34,350,51,8.415909791545789e-05,0.04861833443239281,0.9006453699263156,COMPLETE
15,0.37121785030357624,2026-03-11 19:42:10.060714,2026-03-11 19:42:11.100971,0 days 00:00:01.040257,0.8325375258855341,0.0726077367240438,4,23,350,38,2.5173790920739034e-06,0.48103931280358203,0.9930744627111218,COMPLETE
16,0.40194020549318416,2026-03-11 19:42:11.100971,2026-03-11 19:42:11.757508,0 days 00:00:00.656537,0.9223935672425749,0.017052272250322735,2,35,350,57,0.009981914275807573,0.07445093819181572,0.84078311583699,COMPLETE
