number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.3654145214358223,2026-03-11 19:39:05.610103,2026-03-11 19:39:09.157716,0 days 00:00:03.547613,0.6232334448672797,0.17254716573280354,7,12,550,97,0.004042872735027332,2.9154431891537547,0.662397808134481,COMPLETE
1,0.38357929830927684,2026-03-11 19:39:09.158717,2026-03-11 19:39:16.572790,0 days 00:00:07.414073,0.6733618039413735,0.010636066512540286,10,14,900,124,0.0014077923139972403,0.016480446427978974,0.6727299868828402,COMPLETE
2,0.3722537204167402,2026-03-11 19:39:16.572790,2026-03-11 19:39:25.911292,0 days 00:00:09.338502,0.7824279936868144,0.023927528765580644,0,18,650,84,1.5777663630582448e-05,1.382623217936987,0.7465447373174767,COMPLETE
3,0.3689630994490713,2026-03-11 19:39:25.912795,2026-03-11 19:39:30.111204,0 days 00:00:04.198409,0.9795542149013333,0.05898602410432694,7,12,700,20,0.07085721663941602,7.2866537374910445,0.6260206371941118,COMPLETE
4,0.4025571024527251,2026-03-11 19:39:30.111204,2026-03-11 19:39:32.985403,0 days 00:00:02.874199,0.6137554084460873,0.013399060561509796,5,10,500,92,3.5700959600309506e-05,4.337920697490942,0.798070764044508,COMPLETE
5,0.375065927984172,2026-03-11 19:39:32.985403,2026-03-11 19:39:37.715952,0 days 00:00:04.730549,0.9100531293444458,0.02544166090938368,6,13,850,73,0.2338643925620872,5.727904470799623,0.9878338511058234,COMPLETE
6,0.3922289785946381,2026-03-11 19:39:37.716952,2026-03-11 19:39:38.620334,0 days 00:00:00.903382,0.7554709158757928,0.15826541904647565,1,7,800,24,0.09384800715909536,0.01217295809836997,0.7301321323053057,COMPLETE
7,0.3734097474252624,2026-03-11 19:39:38.620334,2026-03-11 19:39:43.034371,0 days 00:00:04.414037,0.9947547746402069,0.023200867504756827,0,41,550,76,1.5570196345516602e-05,1.2273800987852967,0.6298202574719083,COMPLETE
8,0.3694959361615362,2026-03-11 19:39:43.035372,2026-03-11 19:39:44.206620,0 days 00:00:01.171248,0.7433862914177091,0.11506408247250169,9,40,200,94,0.15087613675681671,0.0029072088906598446,0.6296178606936361,COMPLETE
9,0.4009080591579207,2026-03-11 19:39:44.206620,2026-03-11 19:39:45.902641,0 days 00:00:01.696021,0.8550229885420852,0.026946865572417687,3,19,850,22,0.0006812233896860299,3.53875886477924,0.8918424713352255,COMPLETE
