PR-AUC,ROC-AUC,Recall,Precision,F1,F2,Brier
0.37217815487141537,0.6530718954248367,0.9066666666666666,0.3333333333333333,0.4874551971326165,0.6746031746031746,0.1881539225578308
0.41350369476968185,0.6477133021883452,0.9156626506024096,0.36538461538461536,0.5223367697594502,0.7037037037037037,0.1988190859556198
0.5427427808777692,0.6651955307262569,0.86,0.42786069651741293,0.5714285714285714,0.7154742096505824,0.21945688128471375
0.5473040964132649,0.6997699827487062,0.8936170212765957,0.41379310344827586,0.5656565656565656,0.7253886010362695,0.20438842475414276
0.4298615137674814,0.6615032679738562,0.8533333333333334,0.3004694835680751,0.4444444444444444,0.6237816764132553,0.1847403347492218
0.3977004716044129,0.6900872993522952,0.9402985074626866,0.3014354066985646,0.45652173913043476,0.660377358490566,0.17060726881027222
0.4823259315332572,0.6987179487179487,0.8690476190476191,0.37823834196891193,0.5270758122743683,0.6899810964083176,0.19246748089790344
0.49316895113949,0.7021760511433489,0.8674698795180723,0.36548223350253806,0.5142857142857142,0.6805293005671077,0.18991538882255554
0.4582728229131363,0.6691328077622802,0.9058823529411765,0.36666666666666664,0.5220338983050847,0.7,0.19773775339126587
0.42451543325929064,0.6759393539881345,0.8513513513513513,0.33157894736842103,0.4772727272727273,0.6481481481481481,0.17986226081848145
0.3741551766005182,0.6408980737338946,0.8717948717948718,0.3119266055045872,0.4594594594594595,0.6415094339622641,0.19417086243629456
0.45562494169660117,0.6805904522613065,0.8625,0.34673366834170855,0.4946236559139785,0.6647398843930635,0.1891152560710907
0.44101506496583376,0.6626582278481012,0.8860759493670886,0.3225806451612903,0.47297297297297297,0.6566604127579737,0.1899888962507248
0.5750185801714799,0.7078024579997745,0.8673469387755102,0.40865384615384615,0.5555555555555556,0.7083333333333334,0.2096930891275406
0.5672150873019552,0.6934751301650603,0.8431372549019608,0.4387755102040816,0.5771812080536913,0.7119205298013245,0.218673974275589
0.5389790123347264,0.6891240446796002,0.8555555555555555,0.385,0.5310344827586206,0.6875,0.20173317193984985
0.4378606102743563,0.6079935154009228,0.8641975308641975,0.32407407407407407,0.4713804713804714,0.6481481481481481,0.1981867551803589
0.4502453702074446,0.6221611721611721,0.8690476190476191,0.3492822966507177,0.49829351535836175,0.6697247706422018,0.20200416445732117
0.474278570308328,0.5774493705528189,0.7333333333333333,0.375609756097561,0.4967741935483871,0.616,0.23893430829048157
0.4467652166089989,0.6290479078229231,0.8,0.3487179487179487,0.4857142857142857,0.6355140186915887,0.20214061439037323
0.46740422248093183,0.6662850945897096,0.872093023255814,0.3694581280788177,0.5190311418685121,0.6855575868372943,0.19913329184055328
0.5105224581585884,0.668693009118541,0.8461538461538461,0.3793103448275862,0.5238095238095238,0.6790123456790124,0.20574091374874115
0.3890725064283742,0.6141185547126141,0.8701298701298701,0.3101851851851852,0.45733788395904434,0.6393129770992366,0.19415321946144104
0.4653076083330734,0.6517094017094017,0.8690476190476191,0.3476190476190476,0.4965986394557823,0.6684981684981685,0.19759954512119293
0.4537931841098939,0.6530223702998572,0.8977272727272727,0.3744075829383886,0.5284280936454849,0.7015985790408525,0.2044127881526947
0.4522505107640023,0.6511080846849078,0.8536585365853658,0.35175879396984927,0.498220640569395,0.6641366223908919,0.19570980966091156
0.44095379735232604,0.6267399267399267,0.8928571428571429,0.35046728971962615,0.5033557046979866,0.6818181818181818,0.20221087336540222
