Metric,Point,CI_lower,CI_upper,CI_width
PR-AUC,0.45646207840694486,0.36406360767412216,0.5683773639742193,0.20431375630009718
ROC-AUC,0.6601343101343101,0.5857828813819822,0.7296709411437386,0.14388805976175645
Recall,0.8571428571428571,0.7808135649849649,0.9285924369747899,0.14777887198982498
Precision,0.35121951219512193,0.28349299747130907,0.4188608343185272,0.13536783684721815
F1,0.4982698961937716,0.42293162913369853,0.5677656394929402,0.1448340103592417
Brier,0.19706237316131592,0.1736669424921274,0.22084829472005366,0.04718135222792624
