fraction,repeat,n_subjects,rapid_prevalence,pr_auc,roc_auc
0.2,1,222,0.30180180180180183,0.37477956369679355,0.6175518925518926
0.2,2,222,0.30180180180180183,0.44107465622805786,0.668009768009768
0.2,3,222,0.30180180180180183,0.47580786500169925,0.6710012210012211
0.2,4,222,0.30180180180180183,0.411640173878964,0.6275335775335775
0.2,5,222,0.30180180180180183,0.4541139017273632,0.6774114774114774
0.2,6,222,0.30180180180180183,0.45596741613178604,0.6712148962148962
0.2,7,222,0.30180180180180183,0.4179950454705389,0.5754884004884006
0.2,8,222,0.30180180180180183,0.4098840035367552,0.6441697191697191
0.2,9,222,0.30180180180180183,0.4134036237815788,0.6167887667887668
0.2,10,222,0.30180180180180183,0.42683081143068746,0.6510683760683761
0.2,11,222,0.30180180180180183,0.43487609490973717,0.6492368742368743
0.2,12,222,0.30180180180180183,0.39620669592136565,0.6098901098901099
0.2,13,222,0.30180180180180183,0.46650938032389494,0.6490842490842491
0.2,14,222,0.30180180180180183,0.43583786713021705,0.6445360195360195
0.2,15,222,0.30180180180180183,0.3882254533108005,0.6098901098901098
0.2,16,222,0.30180180180180183,0.40968141570054806,0.6438644688644688
0.2,17,222,0.30180180180180183,0.42109441223283334,0.6520451770451771
0.2,18,222,0.30180180180180183,0.37614932497762343,0.6273504273504273
0.2,19,222,0.30180180180180183,0.4610030338836345,0.6534798534798535
0.2,20,222,0.30180180180180183,0.4156884736076513,0.6555555555555556
0.3,1,333,0.3003003003003003,0.3781442176903008,0.6094627594627595
0.3,2,333,0.3003003003003003,0.4786779117795026,0.6814102564102564
0.3,3,333,0.3003003003003003,0.47903307728768707,0.6836996336996338
0.3,4,333,0.3003003003003003,0.4437369870357194,0.6447802197802197
0.3,5,333,0.3003003003003003,0.4051612088927021,0.6395604395604395
0.3,6,333,0.3003003003003003,0.43169485204375646,0.6444749694749695
0.3,7,333,0.3003003003003003,0.4187791999738915,0.5994200244200245
0.3,8,333,0.3003003003003003,0.4089985448134874,0.6360805860805862
0.3,9,333,0.3003003003003003,0.4141438018167546,0.6388583638583638
0.3,10,333,0.3003003003003003,0.42408587337671133,0.6564713064713065
0.3,11,333,0.3003003003003003,0.3874137633023162,0.5938644688644689
0.3,12,333,0.3003003003003003,0.41930351417456135,0.6160256410256411
