fraction,n_repeats,n_subjects,rapid_prevalence_mean,rapid_prevalence_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std
0.2,20,222,0.3018018018018019,5.695323946259567e-17,0.4243384606441266,0.028921235933466623,0.640758547008547,0.025498379296467737
0.3,20,333,0.3003003003003003,0.0,0.42225218969790157,0.030330784009434033,0.6405723443223443,0.025433750437495697
0.4,20,445,0.3011235955056179,5.695323946259567e-17,0.4290283233043032,0.039672247940958305,0.6470833333333333,0.026388955976782785
0.5,20,556,0.3003597122302158,5.695323946259567e-17,0.43241889729649907,0.029918986900145227,0.650856227106227,0.02152090074522595
0.6,20,667,0.2998500749625188,5.695323946259567e-17,0.4399233859302874,0.028250260211402454,0.6557738095238095,0.01860030016621032
0.7,20,779,0.300385109114249,5.695323946259567e-17,0.43854689352585374,0.021742394264324554,0.6538003663003663,0.013921550578023998
0.8,20,890,0.29999999999999993,5.695323946259567e-17,0.4401167323869128,0.01466259686995727,0.6557814407814407,0.011995841930383656
0.9,20,1001,0.2997002997002997,0.0,0.4458854453606307,0.01135375044719842,0.6553220390720391,0.007809619710189294
1.0,1,1113,0.3000898472596586,0.0,0.45646207840694486,0.0,0.6601343101343101,0.0
