strategy,dev_cv_pr_auc_mean,dev_cv_pr_auc_std,dev_cv_roc_auc_mean,dev_cv_roc_auc_std,test_pr_auc,test_roc_auc,n_imputations
Median imputation (primary),0.4338556985395088,0.04920704920558719,0.6153734624490869,0.02111340476637347,0.45646207840694486,0.6601343101343101,1
Median imputation + missingness indicators,0.42063834222422464,0.04671713069582656,0.6149299822981572,0.02005132403007747,0.4604961965306307,0.6615384615384616,1
Iterative multiple imputation (m=5),0.4255583438319913,0.04440211831805943,0.6227266754142423,0.03319825660904632,0.4994786129929224,0.6824786324786326,5
