horizon,model,PR_AUC_mean,PR_AUC_std,F1_mean,F1_std,F2_mean,F2_std,TN_mean,FP_mean,FN_mean,TP_mean,thr_decision_mean,thr_decision_std
3m,RandomForest,0.3752767792828812,0.03364045960965298,0.4137577414087186,0.02091891389272427,0.45061826706919816,0.05017488535856946,213.6,122.0,75.6,70.2,0.32999999999999996,0.02449489742783177
3m,SVM,0.36476653436634077,0.027834228411208205,0.47004693367890854,0.028263798725303785,0.6365630193180951,0.03356108090810612,85.6,250.0,24.0,121.8,0.25,0.0
3m,DecisionTree,0.3585401255995313,0.03604705062760257,0.46094211574607646,0.022259302758626726,0.6584592114882427,0.018165505438016174,32.4,303.2,11.2,134.6,0.10999999999999999,0.019999999999999997
3m,KNN,0.33694157743501124,0.030334799478293463,0.461339764128175,0.02531758812291785,0.6618868067393695,0.0325438046579059,28.2,307.4,9.6,136.2,0.11000000000000001,0.019999999999999997
6m,SVM,0.41424060798130685,0.06909111910215675,0.4621800926875984,0.05339574963970331,0.6117112762163,0.053058437611152164,60.4,134.6,17.6,65.8,0.24,0.019999999999999997
6m,RandomForest,0.3968781457761913,0.05288030632522844,0.4175423862760084,0.04156117735199198,0.4350304680410006,0.036247942144185266,137.4,57.6,46.2,37.2,0.35,0.0
6m,DecisionTree,0.3690772422386197,0.06244314792993882,0.4532624422088036,0.05625197594602547,0.6326163124395722,0.06816758743079247,34.2,160.8,10.8,72.6,0.13,0.039999999999999994
6m,KNN,0.3471200204923588,0.0394235558741044,0.45777199230913734,0.049636982353214745,0.6344022356678275,0.038161469308354116,36.8,158.2,11.6,71.8,0.16999999999999998,0.04
