thr,pred_pos_rate,precision,recall,F2
0.05,0.9964080459770115,0.3013698630136986,1.0,0.6832298136645962
0.1,0.9949712643678161,0.30180505415162456,1.0,0.6836768073274452
0.15,0.9885057471264368,0.30305232558139533,0.9976076555023924,0.6840551181102361
0.2,0.9820402298850575,0.30504754937820044,0.9976076555023924,0.6860809476801579
0.25,0.9540229885057471,0.31099397590361444,0.9880382775119617,0.6883333333333332
0.3,0.9044540229885057,0.31850675138999207,0.9593301435406698,0.6840668713749573
0.35,0.8362068965517241,0.3333333333333333,0.9282296650717703,0.6840620592383638
0.39999999999999997,0.7140804597701149,0.358148893360161,0.8516746411483254,0.6676669167291823
0.44999999999999996,0.5761494252873564,0.38403990024937656,0.7368421052631579,0.6224737267582863
0.49999999999999994,0.4360632183908046,0.42174629324546953,0.6124401913875598,0.5616498464238701
0.5499999999999999,0.3117816091954023,0.4539170506912442,0.47129186602870815,0.4677113010446343
0.6,0.21120689655172414,0.4965986394557823,0.3492822966507177,0.3713123092573753
0.65,0.1285919540229885,0.4972067039106145,0.21291866028708134,0.24041058887088063
0.7,0.07040229885057471,0.5510204081632653,0.1291866028708134,0.15254237288135594
0.75,0.032327586206896554,0.5111111111111111,0.05502392344497608,0.06697728596389052
0.7999999999999999,0.015804597701149427,0.4090909090909091,0.0215311004784689,0.02656434474616293
0.85,0.004310344827586207,0.5,0.007177033492822967,0.008939213349225266
0.9,0.0014367816091954023,0.5,0.0023923444976076554,0.0029868578255675027
0.95,0.0,0.0,0.0,0.0
