thr,pred_pos_rate,TN,FP,FN,TP,precision,recall,F1,F2
0.3,0.9044540229885057,116,858,17,401,0.31850675138999207,0.9593301435406698,0.47823494335122246,0.6840668713749573
0.5,0.4360632183908046,623,351,162,256,0.42174629324546953,0.6124401913875598,0.4995121951219513,0.5616498464238701
0.5538313610332861,0.30028735632183906,744,230,230,188,0.44976076555023925,0.44976076555023925,0.44976076555023925,0.4497607655502392
