horizon,model,PR_AUC_mean,PR_AUC_std,F1_mean,F1_std,F2_mean,F2_std,TN_mean,FP_mean,FN_mean,TP_mean
3m,RandomForest,0.3752767792828812,0.03364045960965298,0.1361279033488491,0.019880754053295476,0.09616842184027706,0.014195055605045347,321.0,14.6,134.0,11.8
3m,SVM,0.36476653436634077,0.027834228411208205,0.0,0.0,0.0,0.0,335.6,0.0,145.8,0.0
3m,DecisionTree,0.3585401255995313,0.03604705062760257,0.17878991846131237,0.009126122157485223,0.13318701014774018,0.011513114894569363,312.8,22.8,129.2,16.6
3m,KNN,0.33694157743501124,0.030334799478293463,0.1146616968997582,0.021461948983807214,0.0834796633874391,0.01631038037432734,312.4,23.2,135.4,10.4
6m,SVM,0.41424060798130685,0.06909111910215675,0.046126466650917394,0.030867558894478824,0.03061049912281274,0.020994537649395316,192.2,2.8,81.2,2.2
6m,RandomForest,0.3968781457761913,0.05288030632522844,0.18702802842824698,0.0250378114590882,0.13657011896162835,0.01864932102126262,185.2,9.8,73.8,9.6
6m,DecisionTree,0.3690772422386197,0.06244314792993882,0.28637048955032507,0.04422420114817748,0.2457610510769606,0.05325339536691769,168.6,26.4,65.0,18.4
6m,KNN,0.3471200204923588,0.0394235558741044,0.16685406673062575,0.03199884593541611,0.12363231666616872,0.026142574193522613,182.4,12.6,74.6,8.8
