horizon,model,PR_AUC_mean,PR_AUC_std,F2_mean,F2_std,FP_mean,FN_mean,thr_decision_mean,thr_decision_std
3m,XGBoost,0.3786680383185343,0.0457316470534614,0.5206483267143993,0.0395964606987673,158.2,59.2,0.27,0.0244948974278317
3m,LogisticRegression,0.3718363772529972,0.0534100850635088,0.6770436962268465,0.0238718164777914,313.8,4.8,0.31,0.0199999999999999
3m,LightGBM,0.3600323038952623,0.0454486025327019,0.3978369799288072,0.0301661205349434,105.6,85.8,0.31,0.0199999999999999
6m,LogisticRegression,0.3908684430606669,0.0576675928812395,0.6728691201986885,0.0262675679956933,177.8,3.6,0.27,0.0399999999999999
6m,XGBoost,0.3778411069928417,0.0616806573050187,0.4183888360767934,0.0492821941293828,71.8,46.0,0.31,0.0199999999999999
6m,LightGBM,0.3491418713699921,0.0466740389911557,0.3191059529320358,0.0532951756374657,46.0,57.0,0.3899999999999999,0.0489897948556635
