horizon,model,PR_AUC_mean,PR_AUC_std,F1_mean,F1_std,F2_mean,F2_std,TN_mean,FP_mean,FN_mean,TP_mean,thr_decision_mean,thr_decision_std
3m,LightGBM,0.36003230389526236,0.045448602532701964,0.3824490960178156,0.03606542872558314,0.39783697992880723,0.030166120534943427,230.4,105.6,85.8,59.6,0.31,0.019999999999999997
3m,XGBoost,0.37866803831853435,0.0457316470534614,0.4409580812509595,0.026513075001174526,0.5206483267143993,0.039596460698767315,177.8,158.2,59.2,86.2,0.27,0.02449489742783177
6m,LightGBM,0.3491418713699921,0.046674038991155756,0.332599787549118,0.049272821233040984,0.3191059529320358,0.05329517563746575,149.2,46.0,57.0,26.2,0.38999999999999996,0.04898979485566355
6m,XGBoost,0.3778411069928417,0.06168065730501871,0.3867052524385096,0.05560045955235368,0.41838883607679345,0.04928219412938285,123.4,71.8,46.0,37.2,0.31,0.019999999999999997
