analysis,cohort_n,test_n,test_short_n,roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,precision,tp,fp,fn,tn
Complete-case primary analysis,1502,301,35,0.9227712137486573,0.7035758636484443,0.843984962406015,0.8571428571428571,0.8308270676691729,0.4,30,45,5,221
Expanded cohort: median imputation,5802,1161,123,0.9033906668546454,0.51485036072366,0.8202805582969124,0.8130081300813008,0.8275529865125241,0.35842293906810035,100,179,23,859
Expanded cohort: iterative imputation (m=5),5802,1161,123,0.905587668593449,0.5234153317944852,0.8150406504065041,0.7967479674796748,0.8333333333333334,0.36162361623616235,98,173,25,865
